"wkn_514000";"wkn_515100";"wkn_519000";"wkn_543900";"wkn_555200";"wkn_555750";"wkn_575200";"wkn_500340"
81.8;32.07;37.2;75.18;21.0;14.15;36.3;41.5
83.3;31.48;37.48;74.7;21.14;14.2;36.38;41.9875
83.45;31.805;37.32;76.64;20.98;14.22;36.13;41.95
84.4;31.7;37.86;77.51;21.53;14.37;36.18;41.8125
84.68;31.5;37.75;78.16;21.5;14.33;36.13;41.4425
84.95;31.23;37.65;78.02;21.86;14.24;35.83;41.2375
86.35;31.535;37.4;78.66;22.08;13.98;35.57;41.1325
86.73;31.67;37.32;78.95;22.24;13.82;35.63;41.6325
85.25;31.235;37.07;77.05;22.2;13.63;35.38;41.0125
85.8;31.755;37.03;77.77;22.24;13.69;35.63;41.4825
84.39;31.795;36.52;76.96;21.71;13.51;35.04;41.4375
83.05;31.58;36.16;76.28;21.47;13.42;34.61;41.0875
84.4;31.525;36.13;76.9;22.15;13.37;34.68;41.755
82.51;30.91;35.68;74.41;21.6;13.11;34.32;41.4075
82.6;31.02;35.86;75.45;21.89;13.2;34.14;41.455
82.08;31.02;35.88;74.71;21.72;12.98;34.23;41.47
82.95;31.44;36.59;75.9;21.95;12.93;34.21;41.3625
85.2;31.46;36.87;77.56;22.64;13.14;33.62;41.575
86.62;32.0;36.98;77.93;23.06;13.17;34.59;42.42
87.99;31.875;37.0;80.71;23.46;13.27;34.33;43.795
